match_id,match_date,home_team,away_team,competition_stage,stadium,city,country,forecast_temperature_c,forecast_humidity_percent,forecast_precipitation_mm,forecast_heat_index_c,forecast_wet_bulb_c,forecast_wbgt_c,predicted_cooling_break,predicted_home_goals,predicted_away_goals,predicted_total_goals,probability_over_2_5_goals,win_probability,draw_probability,loss_probability,forecast_source
WC2026-091,2026-07-05,TBD,TBD,Round of 16,MetLife Stadium,East Rutherford,USA,34.0,24.0,0.0,34.0,19.8,24.06,0,1.68,1.44,3.12,0.603,0.434,0.236,0.33,Open-Meteo Forecast API
WC2026-092,2026-07-05,TBD,TBD,Round of 16,Estadio Azteca,Mexico City,Mexico,17.5,82.0,0.6,17.5,15.36,16.0,0,2.07,1.13,3.2,0.62,0.59,0.209,0.201,Open-Meteo Forecast API
WC2026-093,2026-07-06,TBD,TBD,Round of 16,AT&T Stadium,Arlington,USA,38.2,31.0,0.0,38.2,24.84,28.85,1,2.51,1.41,3.92,0.75,0.614,0.183,0.203,Open-Meteo Forecast API
WC2026-094,2026-07-06,TBD,TBD,Round of 16,Lumen Field,Seattle,USA,19.2,55.0,0.0,19.2,13.66,15.32,0,2.07,1.63,3.7,0.715,0.482,0.211,0.307,Open-Meteo Forecast API
WC2026-095,2026-07-07,TBD,TBD,Round of 16,Mercedes-Benz Stadium,Atlanta,USA,34.3,43.0,0.0,37.72,24.58,27.5,0,2.34,1.48,3.82,0.734,0.567,0.195,0.237,Open-Meteo Forecast API
WC2026-096,2026-07-07,TBD,TBD,Round of 16,BC Place,Vancouver,Canada,19.1,57.0,0.0,19.1,13.82,15.4,0,2.01,1.67,3.68,0.711,0.461,0.214,0.325,Open-Meteo Forecast API
WC2026-097,2026-07-09,TBD,TBD,Quarter-Final,Gillette Stadium,Foxborough,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-098,2026-07-10,TBD,TBD,Quarter-Final,SoFi Stadium,Inglewood,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-099,2026-07-11,TBD,TBD,Quarter-Final,Hard Rock Stadium,Miami Gardens,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-100,2026-07-11,TBD,TBD,Quarter-Final,Arrowhead Stadium,Kansas City,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-101,2026-07-14,TBD,TBD,Semi-Final,AT&T Stadium,Arlington,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-102,2026-07-15,TBD,TBD,Semi-Final,Mercedes-Benz Stadium,Atlanta,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-103,2026-07-18,TBD,TBD,Third Place,Hard Rock Stadium,Miami Gardens,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
WC2026-104,2026-07-19,TBD,TBD,Final,MetLife Stadium,East Rutherford,USA,25.0,55.0,0.0,25.0,18.76,20.63,0,1.62,0.45,2.07,0.342,0.665,0.236,0.099,Naive (no forecast available)
